Nr,Nafn,Breidd,Lengd,Haed,Dags,Vindatt,VindattAsc,VindattAscEng,Vindhradi,Vindhvida,Hiti,Veghiti,Umf10Min,UmfSum,Raki,Daggarmark,VindattStDev,Loftthrystingur,Sjavarhaed,PntX,PntY,IdButur1,IdButur2,Nr_Vedurstofa,Status
194,Jökulheimar,64.316667,-18.216667,726,14.1.2024 12:00:00,5,N,N,16.38,20.16,-13.27,NA,NA,NA,71,-17.418,NA,1031.7,NA,537893.973,424056.397,NA,NA,6670,DWTPH
195,Þúfuver,64.57515,-18.60085,613,14.1.2024 12:00:00,39,NA,NE,9.63,11.24,-13.55,NA,NA,NA,81,-16.114,NA,1035.5,NA,519127.421,452697.724,NA,NA,6760,DWTPH
189,Eyjabakkar,64.815083,-15.423467,655.32,14.1.2024 12:00:00,330,NNV,NNW,10.63,16.17,-12.84,NA,NA,NA,85,-14.834,NA,1035.2,NA,669786.107,484189.284,NA,NA,5943,DWTPH
191,Setur,64.6043,-19.0186,693,14.1.2024 12:40:00,78,ANA,ENE,5.28,9.41,-14.61,NA,NA,NA,76,-17.907,NA,1036.7,NA,499109.631,455887.105,NA,NA,6748,DWTPH
1181,Borgarnes,64.534,-21.932,NA,14.1.2024 12:50:00,72,ANA,ENE,6.46,9.7,-5.742,NA,NA,NA,NA,NA,11.72,NA,NA,359334.187,451312.564,804020027,NA,NA,DWT
1124,Húsavík,66.045055,-17.354242,NA,14.1.2024 12:50:00,347,NNV,NNW,5.944,8.66,NA,NA,NA,NA,NA,NA,15.01,1035.6,1.118,574591.008,617491.511,910120027,NA,NA,DWTP
1137,Básasker,63.444833,-20.273,NA,14.1.2024 12:50:00,53,NA,NE,9.32,14.08,0.336,NA,NA,NA,NA,NA,70.44,1029.6,0.291,436463.688,327262.346,920010027,NA,NA,DWTRPCs
1140,Þorlákshöfn,63.859322,-21.371637,5,14.1.2024 12:50:00,52,NA,NE,10.17,13.33,-4.703,NA,NA,NA,NA,NA,6.05,1033.4,-5.006,383383,375023,920030027,NA,1391,DWTP
1123,Hvanney,64.231913,-15.200299,4,14.1.2024 12:50:00,327,NNV,NNW,17.61,23.03,-5.925,NA,NA,NA,NA,NA,6.127,1030.2,-0.578,684273.223,419912.792,NA,NA,5552,DWTP
1142,Sundahöfn,64.157817,-21.864817,NA,14.1.2024 12:50:00,123,ASA,ESE,2.685,3.724,-4.192,NA,NA,NA,NA,NA,8.02,NA,-4.424,360655.325,409270.695,NA,NA,NA,DWT
1128,Ólafsvík,64.897783,-23.701467,NA,14.1.2024 12:50:00,105,ASA,ESE,6.264,8.59,-3.352,NA,NA,NA,88.1,-5.04,15.27,1036,1.429,277582.48,496879.075,904300027,NA,NA,DWTPH
1159,Akranes,64.313217,-22.078733,NA,14.1.2024 12:50:00,29,NNA,NNE,9.74,12.51,-4.944,NA,NA,NA,NA,NA,7.506,1034.2,-2.903,351101.732,427063.473,904020027,NA,NA,DWTP
1119,Grindavík,63.838013,-22.428897,NA,14.1.2024 12:50:00,25,NNA,NNE,2.988,7.742,-2.957,NA,NA,NA,NA,NA,41.56,1034.7,1.228,331310.287,375035.568,903440027,NA,NA,DWTP
1176,Landeyjahöfn,63.5322,-20.1182,NA,14.1.2024 12:50:00,290,VNV,WNW,4.661,6.468,-4.13,NA,NA,NA,70.8,-8.647,16.16,1027.7,0.386,444361.298,336855.913,901240027,920020027,NA,DWTPH
1141,Miðbakki,64.150803,-21.9424,NA,14.1.2024 12:50:00,89,A,E,1.652,2.352,-4.137,NA,NA,NA,NA,NA,19.72,1032.8,1.011,356847.982,408662.968,1404550027,NA,NA,DWTP
2187,Reykjavík - Víðidalur,64.103467,-21.797083,71,14.1.2024 12:50:00,125,SA,SE,0.92,2.03,-5.73,NA,NA,NA,79,-8.791,NA,1033.9,NA,363679.697,403070.01,NA,NA,1482,DWTPH
2188,Seltjarnarnes,64.1545,-22.032517,4.5,14.1.2024 12:40:00,21,NNA,NNE,10.3,12.2,-3.6,NA,NA,NA,76,-7.22,NA,1033.4,NA,352486.752,409281.831,NA,NA,1471,DWTPH
